rank,index,block,field,hashed,mi_score
178,1071,imports,imports.libraries_hashed[75],True,0.0006952673984781388
179,1101,imports,imports.libraries_hashed[105],True,0.0007256519255951499
180,857,section,section.vsize_hashed[26],True,0.0007411342313048408
181,787,section,section.sizes_hashed[6],True,0.0007422146886830738
182,785,section,section.sizes_hashed[4],True,0.0007551022072767033
183,1218,imports,imports.libraries_hashed[222],True,0.0007816325039464722
184,1022,imports,imports.libraries_hashed[26],True,0.0007912480121092802
185,1009,imports,imports.libraries_hashed[13],True,0.0007930664913913255
186,1204,imports,imports.libraries_hashed[208],True,0.0008069519021338678
187,1244,imports,imports.libraries_hashed[248],True,0.0008196896674079746
188,2496,pefilewarnings,pewarn:Error parsing the import table. AddressOfData overlaps with THUNK_DATA for THUNK at RVA...,False,0.0008290614118506845
189,2548,pefilewarnings,pewarn:Suspicious NumberOfRvaAndSizes in the Optional Header...,False,0.0008483874285627468
190,2525,pefilewarnings,pewarn:Invalid function override info...,False,0.000857197702299306
191,624,strings,string_count_/dev/,False,0.0008684228724418208
192,1134,imports,imports.libraries_hashed[138],True,0.0008721988933242386
193,814,section,section.sizes_hashed[33],True,0.0009241440663363409
194,1231,imports,imports.libraries_hashed[235],True,0.0009310138237337284
195,2500,pefilewarnings,pewarn:Error parsing the resources directory. The file contains at least...,False,0.0009355464636511268
196,2563,pefilewarnings,pewarn:...VirtualAddress is beyond 0x10000000,False,0.0009547757249617206
197,2225,imports,imports.lib_func_hashed[973],True,0.0009832710017398938
198,2554,pefilewarnings,pewarn:Too many sections...,False,0.0009834756095443709
199,1206,imports,imports.libraries_hashed[210],True,0.0009893633476414365
200,1181,imports,imports.libraries_hashed[185],True,0.0009931688067648103
201,1247,imports,imports.libraries_hashed[251],True,0.0010142518755860142
202,2551,pefilewarnings,pewarn:Too many warnings parsing section. Aborting...,False,0.0010373665639029639
203,1010,imports,imports.libraries_hashed[14],True,0.0010435737829210812
204,2523,pefilewarnings,pewarn:Invalid debug information...,False,0.0010538019818688849
205,1050,imports,imports.libraries_hashed[54],True,0.001088691983474277
206,1085,imports,imports.libraries_hashed[89],True,0.0011301112224333387
207,736,header,coff.characteristics:REMOVABLE_RUN_FROM_SWAP,False,0.0011411890002277492
208,746,header,optional.dll_characteristics:NO_ISOLATION,False,0.0011614067026439745
209,1025,imports,imports.libraries_hashed[29],True,0.0011665989388685016
210,1169,imports,imports.libraries_hashed[173],True,0.0011851784008263255
211,1029,imports,imports.libraries_hashed[33],True,0.0012091846017083796
212,807,section,section.sizes_hashed[26],True,0.0012307601012437885
213,1112,imports,imports.libraries_hashed[116],True,0.0012623093405648156
214,2541,pefilewarnings,pewarn:Rich Header is malformed...,False,0.0012626406221099007
215,2555,pefilewarnings,pewarn:Unknown UNWIND_CODE at...,False,0.0012689315472322882
216,710,header,optional.minor_subsystem_version,False,0.0012809569125653564
217,631,strings,string_count_Start-process,False,0.00128216494881217
218,2494,pefilewarnings,pewarn:Error parsing the import directory. Invalid Import data at RVA...,False,0.0012834563612953431
219,1186,imports,imports.libraries_hashed[190],True,0.0012868464416333492
220,1212,imports,imports.libraries_hashed[216],True,0.0012888425760990696
221,1023,imports,imports.libraries_hashed[27],True,0.0013047517829358757
222,1092,imports,imports.libraries_hashed[96],True,0.0013231091432786002
223,918,section,section.entropy_hashed[37],True,0.0013273262541857456
224,1016,imports,imports.libraries_hashed[20],True,0.001349709829923773
225,997,imports,imports.libraries_hashed[1],True,0.0013653147743657446
226,658,strings,string_count_ftp,False,0.0013746932983509375
