rank,index,block,field,hashed,mean_abs_shap,cluster_id,drop_reason
181,2235,imports,imports.lib_func_hashed[983],True,0,-1,inactive
182,2233,imports,imports.lib_func_hashed[981],True,0,-1,inactive
183,2232,imports,imports.lib_func_hashed[980],True,0,-1,inactive
184,2229,imports,imports.lib_func_hashed[977],True,0,-1,inactive
185,2227,imports,imports.lib_func_hashed[975],True,0,-1,inactive
186,2225,imports,imports.lib_func_hashed[973],True,0,-1,inactive
187,2221,imports,imports.lib_func_hashed[969],True,0,-1,inactive
188,2220,imports,imports.lib_func_hashed[968],True,0,-1,inactive
189,2218,imports,imports.lib_func_hashed[966],True,0,-1,inactive
190,2217,imports,imports.lib_func_hashed[965],True,0,-1,inactive
191,2214,imports,imports.lib_func_hashed[962],True,0,-1,inactive
192,2213,imports,imports.lib_func_hashed[961],True,0,-1,inactive
193,2211,imports,imports.lib_func_hashed[959],True,0,-1,inactive
194,2210,imports,imports.lib_func_hashed[958],True,0,-1,inactive
195,2209,imports,imports.lib_func_hashed[957],True,0,-1,inactive
196,2208,imports,imports.lib_func_hashed[956],True,0,-1,inactive
197,2203,imports,imports.lib_func_hashed[951],True,0,-1,inactive
198,2202,imports,imports.lib_func_hashed[950],True,0,-1,inactive
199,2200,imports,imports.lib_func_hashed[948],True,0,-1,inactive
200,2199,imports,imports.lib_func_hashed[947],True,0,-1,inactive
201,2198,imports,imports.lib_func_hashed[946],True,0,-1,inactive
202,2196,imports,imports.lib_func_hashed[944],True,0,-1,inactive
203,2195,imports,imports.lib_func_hashed[943],True,0,-1,inactive
204,2192,imports,imports.lib_func_hashed[940],True,0,-1,inactive
205,2189,imports,imports.lib_func_hashed[937],True,0,-1,inactive
206,2188,imports,imports.lib_func_hashed[936],True,0,-1,inactive
207,2185,imports,imports.lib_func_hashed[933],True,0,-1,inactive
208,2181,imports,imports.lib_func_hashed[929],True,0,-1,inactive
209,2178,imports,imports.lib_func_hashed[926],True,0,-1,inactive
210,2177,imports,imports.lib_func_hashed[925],True,0,-1,inactive
211,2175,imports,imports.lib_func_hashed[923],True,0,-1,inactive
212,2174,imports,imports.lib_func_hashed[922],True,0,-1,inactive
213,2173,imports,imports.lib_func_hashed[921],True,0,-1,inactive
214,2169,imports,imports.lib_func_hashed[917],True,0,-1,inactive
215,2168,imports,imports.lib_func_hashed[916],True,0,-1,inactive
216,2166,imports,imports.lib_func_hashed[914],True,0,-1,inactive
217,2165,imports,imports.lib_func_hashed[913],True,0,-1,inactive
218,2162,imports,imports.lib_func_hashed[910],True,0,-1,inactive
219,2159,imports,imports.lib_func_hashed[907],True,0,-1,inactive
220,2157,imports,imports.lib_func_hashed[905],True,0,-1,inactive
221,2156,imports,imports.lib_func_hashed[904],True,0,-1,inactive
222,2151,imports,imports.lib_func_hashed[899],True,0,-1,inactive
223,2144,imports,imports.lib_func_hashed[892],True,0,-1,inactive
224,2143,imports,imports.lib_func_hashed[891],True,0,-1,inactive
225,2142,imports,imports.lib_func_hashed[890],True,0,-1,inactive
226,2139,imports,imports.lib_func_hashed[887],True,0,-1,inactive
227,2137,imports,imports.lib_func_hashed[885],True,0,-1,inactive
228,2136,imports,imports.lib_func_hashed[884],True,0,-1,inactive
229,2135,imports,imports.lib_func_hashed[883],True,0,-1,inactive
230,2134,imports,imports.lib_func_hashed[882],True,0,-1,inactive
231,2133,imports,imports.lib_func_hashed[881],True,0,-1,inactive
232,2132,imports,imports.lib_func_hashed[880],True,0,-1,inactive
233,2129,imports,imports.lib_func_hashed[877],True,0,-1,inactive
234,2127,imports,imports.lib_func_hashed[875],True,0,-1,inactive
235,2124,imports,imports.lib_func_hashed[872],True,0,-1,inactive
236,2119,imports,imports.lib_func_hashed[867],True,0,-1,inactive
237,2117,imports,imports.lib_func_hashed[865],True,0,-1,inactive
238,2114,imports,imports.lib_func_hashed[862],True,0,-1,inactive
239,2112,imports,imports.lib_func_hashed[860],True,0,-1,inactive
240,2110,imports,imports.lib_func_hashed[858],True,0,-1,inactive
241,2108,imports,imports.lib_func_hashed[856],True,0,-1,inactive
242,2106,imports,imports.lib_func_hashed[854],True,0,-1,inactive
243,2105,imports,imports.lib_func_hashed[853],True,0,-1,inactive
244,2103,imports,imports.lib_func_hashed[851],True,0,-1,inactive
245,2102,imports,imports.lib_func_hashed[850],True,0,-1,inactive
246,2101,imports,imports.lib_func_hashed[849],True,0,-1,inactive
247,2098,imports,imports.lib_func_hashed[846],True,0,-1,inactive
248,2097,imports,imports.lib_func_hashed[845],True,0,-1,inactive
249,2095,imports,imports.lib_func_hashed[843],True,0,-1,inactive
250,2093,imports,imports.lib_func_hashed[841],True,0,-1,inactive
251,2091,imports,imports.lib_func_hashed[839],True,0,-1,inactive
252,2090,imports,imports.lib_func_hashed[838],True,0,-1,inactive
253,2089,imports,imports.lib_func_hashed[837],True,0,-1,inactive
254,2084,imports,imports.lib_func_hashed[832],True,0,-1,inactive
255,2080,imports,imports.lib_func_hashed[828],True,0,-1,inactive
256,2078,imports,imports.lib_func_hashed[826],True,0,-1,inactive
257,2075,imports,imports.lib_func_hashed[823],True,0,-1,inactive
